symptoms_text,triage_class
burning while peeing cloudy urine and fever,doctor-visit
high fever body ache chills,doctor-visit
throbbing headache light sensitivity,doctor-visit
itchy eyes runny nose watery eyes,self-care
cough producing mucus and wheeze,doctor-visit
cough producing mucus and wheeze,doctor-visit
itchy eyes runny nose watery eyes,self-care
severe one-sided headache with nausea,doctor-visit
"loss of smell and persistent dry cough, severe chest pain radiating to arm",emergency
diarrhea vomiting abdominal cramps,doctor-visit
persistent productive cough chest discomfort,doctor-visit
stomach pain nausea and vomiting,doctor-visit
runny nose and sneezing,self-care
"sudden fever muscle pain headache, loss of consciousness",emergency
throbbing headache light sensitivity,doctor-visit
"severe one-sided headache with nausea, severe chest pain radiating to arm",emergency
loss of smell and persistent dry cough,doctor-visit
severe fatigue fever and cough,doctor-visit
stomach pain nausea and vomiting,doctor-visit
sneezing and itchy throat after pollen exposure,self-care
high fever body ache chills,doctor-visit
low fever and nasal congestion,self-care
mild sore throat and congestion,self-care
sudden fever muscle pain headache,doctor-visit
severe one-sided headache with nausea,doctor-visit
loss of smell and persistent dry cough,doctor-visit
cough producing mucus and wheeze,doctor-visit
cough producing mucus and wheeze,doctor-visit
loss of smell and persistent dry cough,doctor-visit
severe one-sided headache with nausea,doctor-visit
severe one-sided headache with nausea,doctor-visit
diarrhea vomiting abdominal cramps,doctor-visit
painful urination frequent urge lower belly pain,doctor-visit
diarrhea vomiting abdominal cramps,doctor-visit
fever sore throat and breathlessness,doctor-visit
sneezing and itchy throat after pollen exposure,self-care
fatigue and loss of taste shortness of breath,doctor-visit
fever sore throat and breathlessness,doctor-visit
severe one-sided headache with nausea,doctor-visit
burning while peeing cloudy urine and fever,doctor-visit
severe one-sided headache with nausea,doctor-visit
stomach pain nausea and vomiting,doctor-visit
itchy eyes runny nose watery eyes,self-care
runny nose and sneezing,self-care
persistent productive cough chest discomfort,doctor-visit
severe fatigue fever and cough,doctor-visit
mild sore throat and congestion,self-care
high fever body ache chills,doctor-visit
severe fatigue fever and cough,doctor-visit
diarrhea vomiting abdominal cramps,doctor-visit
stomach pain nausea and vomiting,doctor-visit
"cough producing mucus and wheeze, severe chest pain radiating to arm",emergency
fever sore throat and breathlessness,doctor-visit
severe one-sided headache with nausea,doctor-visit
itchy eyes runny nose watery eyes,self-care
persistent productive cough chest discomfort,doctor-visit
"severe one-sided headache with nausea, severe chest pain radiating to arm",emergency
persistent productive cough chest discomfort,doctor-visit
itchy eyes runny nose watery eyes,self-care
throbbing headache light sensitivity,doctor-visit
burning while peeing cloudy urine and fever,doctor-visit
severe one-sided headache with nausea,doctor-visit
"cough producing mucus and wheeze, sudden weakness on one side of body",emergency
painful urination frequent urge lower belly pain,doctor-visit
sneezing and itchy throat after pollen exposure,self-care
burning while peeing cloudy urine and fever,doctor-visit
burning while peeing cloudy urine and fever,doctor-visit
loss of smell and persistent dry cough,doctor-visit
stomach pain nausea and vomiting,doctor-visit
severe one-sided headache with nausea,doctor-visit
fever sore throat and breathlessness,doctor-visit
sneezing and itchy throat after pollen exposure,self-care
low fever and nasal congestion,self-care
itchy eyes runny nose watery eyes,self-care
diarrhea vomiting abdominal cramps,doctor-visit
itchy eyes runny nose watery eyes,self-care
persistent productive cough chest discomfort,doctor-visit
diarrhea vomiting abdominal cramps,doctor-visit
stomach pain nausea and vomiting,doctor-visit
sneezing and itchy throat after pollen exposure,self-care
low fever and nasal congestion,self-care
burning while peeing cloudy urine and fever,doctor-visit
painful urination frequent urge lower belly pain,doctor-visit
loss of smell and persistent dry cough,doctor-visit
low fever and nasal congestion,self-care
mild sore throat and congestion,self-care
runny nose and sneezing,self-care
mild sore throat and congestion,self-care
itchy eyes runny nose watery eyes,self-care
high fever body ache chills,doctor-visit
sneezing and itchy throat after pollen exposure,self-care
diarrhea vomiting abdominal cramps,doctor-visit
